22.2.1.1. A népmozgalom fõbb adatai havonta;;;;;;;;;;;;;;;
Év;Hónap;A házasságkötések száma;A házasságkötések ezer lakosra;Az élveszületések száma;Az élveszületések ezer lakosra;A halálozások száma;A halálozások ezer lakosra;A természetes szaporodás, fogyás (–) száma;A természetes szaporodás, fogyás (–) ezer lakosra;A csecsemõ-halálozások száma;A csecsemõ-halálozások ezer élveszülöttre;A terhesség-megszakítások száma;A terhesség-megszakítások száz élveszülöttre;A magzati halálozások száma;"A magzati halálozások 
száz élveszülöttre"
;november;;;;;;;;;;;;;;
;december;;;;;;;;;;;;;;
Évkezdettõl kumulált;;;;;;;;;;;;;;;
2019.;január – október;57 792;7,1;74 097;9,1;108 306;13,3;-34 209;-4,2;275;3,7;19 846;29,9;12 532;18,9
2020.;január – október;60 144;7,4;77 708;9,6;107 258;13,2;-29 550;-3,6;266;3,4;18 639;26,8;11 828;17,0
2021.;január – október;63 809;7,9;77 789;9,6;123 395;15,2;-45 606;-5,6;252;3,2;16 840;24,2;10 854;15,6
2022.;január – október;58 005;7,2;73 777;9,1;112 855;14,0;-39 078;-4,8;248;3,4;16 760;25,3;10 764;16,2
2023.;január – október;44 372;5,6;71 778;9,0;104 404;13,1;-32 626;-4,1;219;3,1;16 253;25,1;10 297;15,9
Az elõzõ év azonos idõszaka = 100,0%;;;;;;;;;;;;;;;
2023.;január – október;76,5;77,2;97,3;98,2;92,5;93,3;83,5;84,2;88,3;90,8;97,0;99,3;95,7;98,0
12 havi gördülõ idõszak;;;;;;;;;;;;;;;
2021. november – 2022. október ;;66 226;6,8;89 027;9,2;145 081;15,0;-56 054;-5,8;305;3,4;21 827;24,3;14 455;16,1
2022. november – 2023. október;;50 334;5,2;86 492;9,0;127 995;13,3;-41 503;-4,3;290;3,4;21 272;24,5;13 674;15,7
Az elõzõ 12 havi gördülõ idõszak = 100,0% ;;;;;;;;;;;;;;;
2022. november – 2023. október;;76,0;76,4;97,2;97,7;88,2;88,7;74,0;74,4;95,1;97,9;97,5;100,7;94,6;97,7
